"統計期","客運人次/總計[人次]","客運人次/中運量[人次]","客運人次/高運量[人次]","平均每日客運人次[人次]","客運收入/總計[千元]","客運收入/中運量[千元]","客運收入/高運量[千元]","悠遊卡累計發卡量[張]"
"99年 9月",39760508,4791099,34969409,1325350,846177,86657,759520,21782155
"99年 10月",43727622,5188036,38539586,1410568,928609,93100,835509,22000696
"99年 11月",47277592,5418623,41858969,1575920,955556,96896,858660,22538883
"99年 12月",50416877,5798323,44618554,1626351,1069764,105412,964352,23252130
"100年 1月",46769306,5415603,41353703,1508687,988277,97577,890700,23618671
"100年 2月",42217591,4711900,37505691,1507771,903346,87304,816042,23997921
"100年 3月",48818361,5963986,42854375,1574786,1042361,111461,930900,24501406
"100年 4月",47205199,5626140,41579059,1573507,1005773,105327,900446,25008209
"100年 5月",46653336,5730330,40923006,1504946,992751,106156,886595,25244257
"100年 6月",44438781,5537456,38901325,1481293,944566,103604,840962,25848448
"100年 7月",48204332,5786675,42417657,1554978,1022866,109109,913757,26480213
"100年 8月",47806171,5713979,42092192,1542135,1014037,107118,906919,26953215
"100年 9月",46440213,5660694,40779519,1548007,1002824,115183,887640,27576495
"100年 10月",48612662,5811027,42801635,1568150,1061262,128663,932599,28029742
"100年 11月",47637209,5868071,41769138,1587907,1044031,129257,914774,28392216
"100年 12月",51601325,6202111,45399214,1664559,1126673,136510,990163,29013392
"101年 1月",46910524,5222550,41687974,1513243,1006923,116172,890752,29674401
"101年 2月",48222267,5553279,42668988,1662837,1049426,122858,926568,29961597
"101年 3月",51761349,6245261,45516088,1669721,1143166,138905,1004260,30437848
"101年 4月",48278769,5764356,42514413,1609292,1060455,127699,932755,30740050
"101年 5月",50131129,5929124,44202005,1617133,1102741,131776,970966,31503875
"101年 6月",47661008,5728437,41932571,1588700,1044312,127187,917125,32231312
"101年 7月",50456552,5798812,44657740,1627631,1102931,128859,974071,32778959
"101年 8月",49651320,5651534,43999786,1601655,1085675,125655,960020,33401860
"101年 9月",48795624,5660696,43134928,1626521,1069707,125586,944121,34036653
"101年 10月",53218414,6119291,47099123,1716723,1149392,135676,1013716,34741872
"101年 11月",51654227,6034381,45619846,1721808,1132767,133952,998816,35355079
"101年 12月",55458159,6152965,49305194,1788973,1220915,136765,1084150,35940603
"102年 1月",52749452,5953206,46796246,1701595,1150436,131845,1018591,36746245
"102年 2月",45786691,4900165,40886526,1635239,1008231,110280,897951,37209373
"102年 3月",54349272,6259649,48089623,1753202,1196214,139696,1056518,37686141
"102年 4月",50269978,5752367,44517611,1675666,1101027,127844,973183,38324157
"102年 5月",53058455,6089105,46969350,1711563,1159907,135078,1024829,38895684
"102年 6月",50466513,5788899,44677614,1682217,1119545,144535,975010,39324894
"102年 7月",52949777,5939023,47010754,1708057,1156020,132391,1023629,39769051
"102年 8月",52984136,5781317,47202819,1709166,1140050,112850,1027200,40300787
"102年 9月",50471993,5681674,44790319,1682400,1107748,126476,981272,40993491
"102年 10月",54652173,6221272,48430901,1762973,1202805,138999,1063806,41605736
"102年 11月",55447598,6302455,49145143,1848253,1200792,139218,1061574,42364410
"102年 12月",61775045,6736695,55038350,1992743,1308597,149350,1159247,43072866
"103年 1月",55842595,6177499,49665096,1801374,1221835,138289,1083546,43715185
"103年 2月",52200340,5726006,46474334,1864298,1143803,125724,1018079,44358263
"103年 3月",59584296,6631641,52952655,1922074,1303875,148290,1155585,44856808
"103年 4月",55365751,6232061,49133690,1845525,1214869,139614,1075256,45472193
"103年 5月",56671844,6274682,50397162,1828124,1236885,139616,1097269,46081829
"103年 6月",52928720,5984765,46943955,1764291,1155420,133279,1022140,46692023
"103年 7月",55610445,6138987,49471458,1793885,1212955,137178,1075778,47188039
"103年 8月",56508518,6087751,50420767,1822855,1232941,135747,1097194,47968602
"103年 9月",53588179,5944874,47643305,1786273,1175613,133031,1042581,48590176
"103年 10月",57923300,6467174,51456126,1868494,1275028,144979,1130049,49151743
"103年 11月",58232217,6296359,51935858,1941074,1219181,137339,1081842,49491607
"103年 12月",65050196,6818542,58231654,2098393,1368989,149063,1219926,49883983
"104年 1月",59691839,6227340,53464499,1925543,1307066,138266,1168800,50267827
"104年 2月",52532633,5269863,47262770,1876165,1146265,117758,1028507,50745310
"104年 3月",62848327,6727679,56120648,2027365,1381154,151369,1229785,51273518
"104年 4月",58332655,6199146,52133509,1944422,1272535,137719,1134816,51877461
"104年 5月",60761657,6310631,54451026,1960053,1322896,140413,1182483,52641819
"104年 6月",57568402,6065539,51502863,1918947,1251238,135665,1115574,52963625
"104年 7月",59994731,6127107,53867624,1935314,1301390,136588,1164802,53944348
"104年 8月",58896058,5879310,53016748,1899873,1275336,130373,1144963,54319225
"104年 9月",57138189,5918775,51219414,1904606,1248578,134026,1114552,55383435
"104年 10月",62296159,6542463,55753696,2009554,1364448,147785,1216663,56196266
"104年 11月",60909070,6453066,54456004,2030302,1330728,145806,1184922,56516165
"104年 12月",66542089,6898698,59643391,2146519,1450240,157190,1293051,57518771
"105年 1月",62491126,6434290,56056836,2015843,1353556,144844,1208713,57842125
"105年 2月",55880942,5470861,50410081,1926929,1215585,120288,1095297,58684284
"105年 3月",65094282,6940929,58153353,2099816,1421921,155439,1266482,59192335
"105年 4月",59818335,6209625,53608710,1993945,1306260,139672,1166588,59721267
"105年 5月",62641349,6452009,56189340,2020689,1358766,144925,1213842,60167339
"105年 6月",58943413,6082741,52860672,1964780,1288514,137133,1151381,60739329
"105年 7月",60814153,6088920,54725233,1961747,1318141,134295,1183846,61409602
"105年 8月",63103402,6329676,56773726,2035594,1365775,138503,1227272,62016491
"105年 9月",56229449,5674979,50554470,1874315,1219230,121854,1097376,62623309
"105年 10月",62802378,6386663,56415715,2025883,1361171,137658,1223513,63359096
"105年 11月",62796023,6610075,56185948,2093201,1353551,148734,1204817,63921365
"105年 12月",69375314,6921539,62453775,2237913,1523754,156101,1367653,64508382
"106年 1月",60035066,5956520,54078546,1936615,1314569,133318,1181252,65048007
"106年 2月",57307769,5644589,51663180,2046706,1245041,125590,1119451,65438584
"106年 3月",65799002,6825990,58973012,2122548,1429405,151541,1277864,66084459
"106年 4月",61034570,6267056,54767514,2034486,1329579,140643,1188935,66740448
"106年 5月",62331397,6331593,55999804,2010690,1351268,140652,1210616,67411341
"106年 6月",60600002,6280197,54319805,2020000,1303448,138727,1164722,68181784
"106年 7月",60845996,6014506,54831490,1962774,1309674,133586,1176088,68925899
"106年 8月",63338720,6213648,57125072,2043185,1365832,137967,1227866,69597335
"106年 9月",60251267,6183880,54067387,2008376,1308084,137443,1170641,70012981
"106年 10月",61801612,6198413,55603199,1993600,1343942,138051,1205891,70746881
"106年 11月",63033961,6568960,56465001,2101132,1367683,146169,1221515,72075721
"106年 12月",69687194,6916305,62770889,2247974,1506055,153764,1352291,72440028
"107年 1月",64500974,6574287,57926687,2080677,1395001,145831,1249170,73198906
"107年 2月",54709408,5286704,49422704,1953907,1177667,117534,1060134,74170923
"107年 3月",67358839,6962572,60396267,2172866,1467726,155698,1312028,74972173
"107年 4月",60665191,6169210,54495981,2022173,1327380,138760,1188620,75698740
"107年 5月",64979317,6634453,58344864,2096107,1392733,153591,1239143,76464894
"107年 6月",61504022,6245005,55259017,2050134,1316407,126630,1189778,77061116
"107年 7月",62957672,6262544,56695128,2030893,1356260,139011,1217249,77858296
"107年 8月",64683872,6400401,58283471,2086577,1402087,142807,1259279,78531604
"107年 9月",60868879,6058757,54810122,2028963,1316220,134322,1181898,79208753
"107年 10月",67071863,6829667,60242196,2163608,1449361,152219,1297142,79902697
"107年 11月",65606945,6860132,58746813,2186898,1425746,152811,1272935,80772902
"107年 12月",70563145,6912276,63650869,2276230,1533132,153620,1379512,81529312
"108年 1月",68003177,6554349,61448828,2193651,1466609,152676,1313933,82377932
"108年 2月",56013818,5197824,50815994,2000494,1211498,119939,1091559,83196464
"108年 3月",67278996,6563127,60715869,2170290,1451519,152575,1298944,83958628
"108年 4月",63674114,6270596,57403518,2122470,1382973,148283,1234690,85171384
"108年 5月",67470852,6643875,60826977,2176479,1457401,150405,1306995,85885204
"108年 6月",62899805,6037608,56862197,2096660,1353757,138103,1215655,86735479
"108年 7月",66557788,6345949,60211839,2147025,1432418,146481,1285937,87727344
"108年 8月",65067353,6096305,58971048,2098947,1388320,139867,1248453,88941966
"108年 9月",61917289,5942391,55974898,2063910,1321806,134446,1187361,90001451
"108年 10月",68684775,6702508,61982267,2215638,1473680,153293,1320387,90898193
"108年 11月",68384772,6656990,61727782,2279492,1304222,155399,1148823,92124224
"108年 12月",73646397,6979498,66666899,2375690,1566310,160506,1405804,93194283
"109年 1月",62341846,6116301,56225545,2011027,1214239,122099,1092140,94294604
"109年 2月",53122226,6498853,46623373,1831801,1154767,121860,1032906,95297354
"109年 3月",53320169,6474851,46845318,1720005,1213152,167175,1045977,96187903
"109年 4月",45348047,5492213,39855834,1511602,1045167,160280,884887,97092329
"109年 5月",53173491,6341145,46832346,1715274,1196819,163661,1033158,97912167
"109年 6月",55134226,6470407,48663819,1837808,1254303,167654,1086649,98515861
"109年 7月",60458810,7015462,53443348,1950284,1343193,181054,1162139,99283485
"109年 8月",59933608,6882064,53051544,1933342,1366253,179627,1186626,100013408
"109年 9月",60712565,7231668,53480897,2023752,1354548,188324,1166224,100843808
"109年 10月",61473624,7227662,54245962,1983020,1372699,189983,1182715,101773445
"109年 11月",62394352,7452264,54942088,2079812,1384450,195128,1189321,102546634
"109年 12月",68237813,8167986,60069827,2201220,1502999,201267,1301732,103540604
"110年 1月",59627877,7127941,52499936,1923480,1337804,183865,1153939,104399953
"110年 2月",49903948,5839196,44064752,1782284,1143496,149092,994404,105430471
"110年 3月",63662116,7753362,55908754,2053617,1426428,203247,1223181,106056881
"110年 4月",60228378,7274005,52954373,2007613,1363822,191340,1172482,106637901
"110年 5月",33793743,4143161,29650582,1090121,787336,111493,675844,107476775
"110年 6月",13119922,1557571,11562351,437331,309477,42459,267018,108072445
"110年 7月",19326321,2320013,17006308,623430,438885,59549,379337,108861034
"110年 8月",31909547,3881202,28028345,1029340,736154,101489,634665,109701931
"110年 9月",37417702,4643235,32774467,1247257,863114,121182,741931,110552292
"110年 10月",48391442,5848184,42543258,1561014,1103289,153651,949638,111451935
"110年 11月",53694731,6589015,47105716,1789824,1223818,174281,1049537,112148840
"110年 12月",60044608,7243507,52801101,1936923,1423622,196457,1227165,113150266
"111年 1月",49839834,6080560,43759274,1607737,1135101,158207,976894,114062669
"111年 2月",41907368,5063273,36844095,1496692,968887,133979,834908,114774704
"111年 3月",57507027,7137316,50369711,1855065,1290074,183044,1107030,115618428
"111年 4月",43166022,5287437,37878585,1438867,982918,139726,843192,116412335
"111年 5月",33442128,4083042,29359086,1078778,764594,106546,658048,117091410
"111年 6月",39433399,4770508,34662891,1314447,897595,123501,774095,117760590
"111年 7月",47377976,5570536,41807440,1528322,1075782,144468,931314,118745874
"111年 8月",50558370,6001930,44556440,1630915,1144755,155814,988941,119610936
"111年 9月",50032664,6075829,43956835,1667755,1137115,158642,978473,120518943
"111年 10月",53451837,6436868,47014969,1724253,1210907,167480,1043427,121643930
"111年 11月",57215039,7052979,50162060,1907168,1302696,188263,1114433,122901856
"111年 12月",63326188,7621498,55704690,2042780,1424464,198349,1226115,123811751
"112年 1月",52502386,6205093,46297293,1693625,1215601,164438,1051163,124849017
"112年 2月",56091010,6766678,49324332,2003250,1296777,194716,1102061,0
"112年 3月",62605487,7784342,54821145,2019532,1427567,220095,1207473,0
"112年 4月",56684568,6867602,49816966,1889486,1336831,204538,1132293,0
"112年 5月",60510291,7030878,53479413,1951945,1385952,140304,1245648,0
"112年 6月",54987194,5340371,49646823,1832906,1268121,133498,1134623,0
"112年 7月",58046189,5490036,52556153,1872458,1358858,139816,1219042,0
"112年 8月",58839358,5564813,53274545,1898044,1393474,142584,1250891,0
"112年 9月",58555890,5659273,52896617,1951863,1404260,150194,1254067,0
"112年 10月",61214212,5858327,55355885,1974652,1431091,147499,1283591,0
"112年 11月",62840839,6137615,56703224,2094695,1518319,163206,1355114,0
"112年 12月",67308154,6317983,60990171,2171231,1502291,165762,1336530,0
"113年 1月",62741676,6062790,56678886,2023925,1485168,149654,1335514,0
"113年 2月",54529739,5047538,49482201,1880336,1323818,139204,1184615,0
"113年 3月",64628305,6238423,58389882,2084784,1530287,162325,1367961,0
"113年 4月",59431226,5638221,53793005,1981041,1412381,143718,1268663,0
"113年 5月",64106287,6169003,57937284,2067945,1519174,160778,1358396,0
"113年 6月",58744279,5542691,53201588,1958143,1405373,145841,1259532,0
"113年 7月",58844774,5499975,53344799,1898219,1387131,116345,1270786,0
"113年 8月",62505962,5769498,56736464,2016321,1479045,173540,1305505,0
"113年 9月",60163650,5713690,54449960,2005455,1426407,146603,1279804,0
"113年 10月",60120337,5680126,54440211,1939366,1417042,145681,1271361,0
"113年 11月",65614980,6289130,59325850,2187166,1559257,164890,1394366,0
"113年 12月",70393296,6603289,63790007,2270751,1677262,172686,1504575,0
"114年 1月",60053435,5528334,54525101,1937208,1428069,145024,1283045,0
"114年 2月",59028861,5546552,53482309,2108174,1405943,145250,1260692,0
"114年 3月",66362946,6417350,59945596,2140740,1617413,173995,1443418,0
"114年 4月",62931862,6115707,56816155,2097729,1539150,101527,1437623,0
"114年 5月",64083919,6135908,57948011,2067223,1554673,237275,1317398,0
"114年 6月",61626094,5864959,55761135,2054203,1507694,161072,1346621,0
"114年 7月",64066879,6003312,58063567,2066674,1553038,163906,1389132,0
"114年 8月",64835018,5911972,58923046,2091452,1573452,164835,1408617,0
"114年 9月",63140722,5996445,57144277,2104691,1535374,161551,1373824,0
"114年 10月",64220299,6082947,58137352,2071623,1555671,163253,1392418,0
"114年 11月",66719414,6287512,60431902,2223980,1623682,172236,1451446,0
"114年 12月",70051219,6604833,63446386,2259717,1693344,180362,1512982,0
"115年 1月",65425847,6197365,59228482,2110511,1585064,89901,1495163,0
"115年 2月",53812781,4849422,48963359,1921885,1324290,210543,1113747,0
"115年 3月",68576347,6555165,62021182,2212140,1666376,183137,1483239,0

