"統計期","捷運站別","進站人次","出站人次","進站人次增減率[%]","出站人次增減率[%]"
"87年","奇岩",894014,670556,180.84,159.78
"87年","北投",2001954,1912201,168.50,175.42
"87年","新北投",1118164,1000904,103.15,97.72
"87年","復興崗",524282,496843,126.72,119.64
"87年","忠義",431692,421396,158.54,165.52
"87年","關渡",1198671,1160714,206.13,203.16
"87年","竹圍",1261983,1189412,120.31,117.82
"87年","紅樹林",578116,489011,160.29,149.51
"87年","淡水",4928025,5105391,0,0
"87年","頂埔",0,0,0,0
"87年","永寧",0,0,0,0
"87年","土城",0,0,0,0
"87年","海山",0,0,0,0
"87年","亞東醫院",0,0,0,0
"87年","府中",0,0,0,0
"87年","板橋",0,0,0,0
"87年","新埔",0,0,0,0
"87年","江子翠",0,0,0,0
"87年","龍山寺",0,0,0,0
"87年","西門",0,0,0,0
"87年","善導寺",0,0,0,0
"87年","忠孝新生BL",0,0,0,0
"87年","忠孝復興BL",0,0,0,0
"87年","忠孝敦化",0,0,0,0
"87年","國父紀念館",0,0,0,0
"87年","市政府",0,0,0,0
"87年","永春",0,0,0,0
"87年","後山埤",0,0,0,0
"87年","昆陽",0,0,0,0
"87年","南港",0,0,0,0
"87年","南港展覽館BL",0,0,0,0
"87年","象山",0,0,0,0
"87年","台北101/世貿",0,0,0,0
"87年","信義安和",0,0,0,0
"87年","大安R",0,0,0,0
"87年","大安森林公園",0,0,0,0
"87年","北門",0,0,0,0
"87年","中山G",0,0,0,0
"87年","松江南京G",0,0,0,0
"87年","南京復興G",0,0,0,0
"87年","台北小巨蛋",0,0,0,0
"87年","南京三民",0,0,0,0
"87年","松山",0,0,0,0
"87年","輔大",0,0,0,0
"87年","新莊",0,0,0,0
"87年","頭前庄",0,0,0,0
"87年","先嗇宮",0,0,0,0
"87年","三重",0,0,0,0
"87年","菜寮",0,0,0,0
"87年","台北橋",0,0,0,0
"87年","大橋頭",0,0,0,0
"87年","民權西路O",0,0,0,0
"87年","中山國小",0,0,0,0
"87年","行天宮",0,0,0,0
"87年","松江南京O",0,0,0,0
"87年","忠孝新生O",0,0,0,0
"87年","東門",0,0,0,0
"87年","蘆洲",0,0,0,0
"87年","三民高中",0,0,0,0
"87年","徐匯中學",0,0,0,0
"87年","三和國中",0,0,0,0
"87年","三重國小",0,0,0,0
"87年","迴龍",0,0,0,0
"87年","丹鳳",0,0,0,0
"87年","大坪林Y",0,0,0,0
"87年","十四張",0,0,0,0
"87年","秀朗橋",0,0,0,0
"87年","景平",0,0,0,0
"87年","景安Y",0,0,0,0
"87年","中和",0,0,0,0
"87年","橋和",0,0,0,0
"87年","中原",0,0,0,0
"87年","板新",0,0,0,0
"87年","板橋Y",0,0,0,0
"87年","新埔民生",0,0,0,0
"87年","頭前庄Y",0,0,0,0
"87年","幸福",0,0,0,0
"87年","新北產業園區",0,0,0,0
"87年","一日票",517441,517441,9546.55,9546.55
"87年","團體票",0,0,0,0
"87年","其他",0,0,0,0
"88年","松山機場",0,0,0,0
"88年","中山國中",2922559,2707081,15.43,15.04
"88年","南京復興BR",3141135,3452429,16.52,15.82
"88年","忠孝復興BR",2764875,3044651,15.13,15.01
"88年","大安BR",1989918,2019486,23.64,22.36
"88年","科技大樓",1813253,1683423,19.93,20.61
"88年","六張犁",1824681,1640027,16.00,16.10
"88年","麟光",716308,645152,18.99,17.76
"88年","辛亥",723319,632761,14.69,16.54
"88年","萬芳醫院",2411950,2456885,20.07,21.06
"88年","萬芳社區",564454,469803,14.47,14.57
"88年","木柵",1017564,1046956,20.97,19.55
"88年","動物園",1447466,1534857,23.22,25.02
"88年","大直",0,0,0,0
"88年","劍南路",0,0,0,0
"88年","西湖",0,0,0,0
"88年","港墘",0,0,0,0
"88年","文德",0,0,0,0
"88年","內湖",0,0,0,0
"88年","大湖公園",0,0,0,0
"88年","葫洲",0,0,0,0
"88年","東湖",0,0,0,0
"88年","南港軟體園區",0,0,0,0
"88年","南港展覽館BR",0,0,0,0
"88年","小碧潭",0,0,0,0
