西元年,站名,早晨出發,早晨抵達,傍晚出發,傍晚抵達,早晨出發佔比,傍晚出發佔比,潮汐指數,工作日均運量,工作日數
2025,龍山寺,97652,57770,96295,127017,0.6283022995457529,0.43121283227054524,0.19708946727520765,29152,20
2025,南港,113903,96154,103506,146199,0.5422480564799078,0.41451312548807595,0.12773493099183186,25653,20
2025,奇岩,50943,31973,36394,37136,0.6143928795407401,0.4949544403644771,0.11943843917626296,9534,20
2025,松山,123785,105468,112382,145304,0.5399493136403886,0.4361199289057225,0.10382938473466607,28945,20
2025,大坪林,97491,73561,92814,96818,0.5699494890442672,0.48944271009112383,0.0805067789531434,22664,20
2025,台北車站,437625,414090,536929,698265,0.5138162413483384,0.43469204027869307,0.0791242010696453,149119,20
2025,木柵,24933,22343,18531,22484,0.5273923343768508,0.4518103133000122,0.07558202107683865,4845,20
2025,芝山,100880,85584,103874,108382,0.541015960185344,0.48938074777627016,0.05163521240907387,24756,20
2025,明德,61079,54828,54423,57061,0.5269655844772102,0.48816870582325717,0.03879687865395304,14283,20
2025,六張犁,54303,48810,50648,51962,0.5266358267143814,0.49359711529090733,0.03303871142347403,12080,20
2025,西門,152264,159614,252576,302293,0.4882165462135835,0.45519933533861145,0.03301721087497206,67835,20
2025,圓山,105154,113129,99455,117944,0.4817324299189584,0.45747680532109164,0.024255624597866787,27545,20
2025,頂埔,73810,57715,48579,39550,0.5611860862953811,0.5512260436405724,0.009960042654808765,11393,20
2025,文德,31931,31139,28398,28602,0.5062787379102585,0.4982105263157895,0.008068211594468966,6634,20
2025,中原,4829,0,16156,0,1.0,1.0,0.0,1988,20
2025,中和,15209,0,8807,0,1.0,1.0,0.0,2682,20
2025,十四張,17054,0,12699,0,1.0,1.0,0.0,2871,20
2025,幸福,19578,0,5309,0,1.0,1.0,0.0,2388,20
2025,新北產業園區,4714,0,13093,0,1.0,1.0,0.0,1912,20
2025,新埔民生,4291,0,2601,0,1.0,1.0,0.0,797,20
2025,景平,12173,0,5992,0,1.0,1.0,0.0,2024,20
2025,板新,8671,0,5607,0,1.0,1.0,0.0,1481,20
2025,橋和,1619,0,11620,0,1.0,1.0,0.0,1415,20
2025,秀朗橋,13243,0,2547,0,1.0,1.0,0.0,1556,20
2025,動物園,25028,15149,31430,17620,0.6229434751225825,0.6407747196738023,-0.01783124455121976,6271,20
2025,北門,69944,72738,82177,77995,0.4902089962293772,0.5130547161801063,-0.02284571995072915,18263,20
2025,輔大,44285,49813,56396,57856,0.4706263682543731,0.49361061513146376,-0.022984246877090664,13030,20
2025,永春,81397,92427,100292,94619,0.4682725055228277,0.5145527958914582,-0.04628029036863052,22300,20
2025,石牌,108501,124946,130836,118199,0.4647778724935424,0.5253719356716927,-0.060594063178150304,31878,20
2025,中山國中,54562,68441,68086,62727,0.4435826768452802,0.5204834381903939,-0.0769007613451137,14675,20
2025,大橋頭站,52396,58931,61890,51066,0.4706495279671598,0.5479124614894295,-0.0772629335222697,14754,20
2025,劍潭,77603,104740,117989,116575,0.4255880401221873,0.503014102760867,-0.07742606263867968,28961,20
2025,台電大樓,54404,67360,80975,70904,0.44679872540323906,0.5331546823458148,-0.0863559569425757,17122,20
2025,科技大樓,52731,63353,79475,62619,0.45424864753109817,0.5593128492406435,-0.10506420170954534,16478,20
2025,大直,34232,42254,54172,42065,0.44755903041079415,0.5629020023483692,-0.11534297193757503,10763,20
2025,新北投,17299,19311,28872,20008,0.4725211690794865,0.590671031096563,-0.11814986201707656,6191,20
2025,古亭,94231,131479,160964,135752,0.4174870408931815,0.5424850698984888,-0.12499802900530727,34357,20
